"filename", "language", "TypeScript", "JavaScript", "TypeScript React", "CSS", "JSON", "Properties", "XML", "Markdown", "Ignore", "Docker", "HTML", "comment", "blank", "total"
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/PopoverLay/style.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Sidebar/index.tsx", "TypeScript React", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 137
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/Sidebar/style.ts", "TypeScript", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 234
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/breakpoints/index.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 165
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/index.tsx", "TypeScript React", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 64
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/types/index.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 67
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/utils/Shared.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 71
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/utils/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/utils/popoverPosition.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 164
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/Sidebar/utils/positionHelper.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 65
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/css/style.css", "CSS", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 11, 8, 186
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/empty-layout.tsx", "TypeScript React", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 79
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/index.tsx", "TypeScript React", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 45
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/main-layout.tsx", "TypeScript React", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 29, 18, 145
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/menu-item.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 66
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/parent-layout.tsx", "TypeScript React", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 39
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/primary-layout.tsx", "TypeScript React", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 108
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/simple-layout.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 88
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/themes.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/katanyoo/Infiltech/Projects/CargoLink/CargoLink-Backoffice/src/Layouts/white-layout.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
